id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
33542,Rumble in the Bronx,1995-01-30,1995.0,91.0,7500000.0,32392047.0,32392047.0,15.830413711839864,91.0,1.0,2.5888369932369226,6.5,5.5053315359323625,9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
51352,Anne Frank Remembered,1995-06-08,1995.0,117.0,0.0,1.0,1.0,0.0,117.0,6.0,0.21832074023436815,7.3,1.6094379124341003,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78406,Steal Big Steal Little,1995-09-29,1995.0,113.0,25000000.0,6278139.0,6278139.0,17.034386422832473,113.0,9.0,0.9252155866113274,5.1,2.0794415416798357,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11066,Boomerang,1992-06-30,1992.0,117.0,40000000.0,70100000.0,70100000.0,17.50439003707821,117.0,6.0,2.0158336540352173,5.4,4.941642422609304,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2074,Flirting with Disaster,1996-03-22,1996.0,92.0,7000000.0,14702438.0,14702438.0,15.76142084987672,92.0,3.0,1.8838961339073972,6.3,4.204692619390966,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11863,Jade,1995-10-13,1995.0,95.0,50000000.0,9851610.0,9851610.0,17.72753358339242,95.0,10.0,2.519220874635727,5.1,3.828641396489095,21,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
5757,Man of the Year,1995-09-15,1995.0,86.0,0.0,209935.0,209935.0,0.0,86.0,9.0,0.4320654932386328,3.8,1.0986122886681098,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,The Birdcage,1996-03-08,1996.0,117.0,31000000.0,185260553.0,185260553.0,17.249497794707484,117.0,3.0,2.01486035296535,6.7,5.717027701406222,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9737,Bad Boys,1995-04-07,1995.0,118.0,19000000.0,141407024.0,141407024.0,16.759949589762293,118.0,4.0,2.328465682587054,6.5,7.455876687491824,32,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
22279,An Awfully Big Adventure,1995-07-21,1995.0,113.0,4000000.0,851545.0,851545.0,15.201805169084134,113.0,7.0,0.6538646254944923,6.0,2.4849066497880004,20,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
568,Apollo 13,1995-06-30,1995.0,140.0,52000000.0,355237933.0,355237933.0,17.76675429577647,140.0,6.0,2.9837339304546915,7.3,7.401231264413015,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
